"","FileName","frogID","begin.time.s","end.time.s","Note_type","note.dur.s","INI","note.period","note_num_series","call_type","series_type","series_seq","note_type_uc","note_type_relabel","call_type_relabel","series_bin","note_num_series_bin","series_seq_cat"
"3337","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,253.7914018,253.8052032,"1",0.0138,0.0625688,0.0763702,3,"doublet","three",2,"1","1","doublet","3","3","50"
"3338","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,253.867772,253.9074496,"2",0.0397,0.5177937,0.5574713,4,"doublet","three",2,"2","2","doublet","3","4","50"
"3339","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,254.4252433,254.5278112,"3",0.1026,1.3746135,1.4771814,5,"squeak","three",3,"uc","3",NA,"3","5","100"
"3340","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,255.9024247,255.9182904,"1",0.0159,0.0689884,0.0848541,1,"doublet","three",1,"1","1","doublet","3","1","1"
"3341","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,255.9872788,256.0380793,"2",0.0508,0.1766623,0.2274628,2,"doublet","three",1,"2","2","doublet","3","2","1"
"3342","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,256.2147416,256.2270359,"1",0.0123,0.0628095,0.0751038,3,"doublet","three",2,"1","1","doublet","3","3","50"
"3343","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,256.2898454,256.3270055,"2",0.0372,0.2370708,0.2742309,4,"doublet","three",2,"2","2","doublet","3","4","50"
"3344","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,256.5640763,256.5768963,"1",0.0128,0.0603001,0.0731201,5,"doublet","three",3,"1","1","doublet","3","5","100"
"3345","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,256.6371964,256.6753356,"2",0.0381,2.1465837,2.1847229,6,"doublet","three",3,"2","2","doublet","3","6","100"
"3346","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,258.8219193,258.8361417,"1",0.0142,0.0665882,0.0808106,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3347","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,258.9027299,258.9520052,"2",0.0493,0.1968795,0.2461548,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3348","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,259.1488847,259.1623549,"1",0.0135,0.0603823,0.0738525,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3349","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,259.2227372,259.2609419,"2",0.0382,1.4464755,1.4846802,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3350","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,260.7074174,260.7217554,"1",0.0143,0.0599723,0.0743103,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3351","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,260.7817277,260.8254861,"2",0.0438,0.1881752,0.2319336,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3352","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,261.0136613,261.0274303,"1",0.0138,0.0594427,0.0732117,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3353","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,261.086873,261.1217305,"2",0.0349,1.7063534,1.7412109,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3354","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,262.8280839,262.8421034,"1",0.014,0.0627017,0.0767212,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3355","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,262.9048051,262.9480664,"2",0.0433,0.1893742,0.2326355,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3356","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,263.1374406,263.1517461,"1",0.0143,0.0593639,0.0736694,3,"doublet","two",2,"1","1","doublet","2","3","100"
"3357","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,263.21111,263.2446198,"2",0.0335,4.3170151,4.3505249,4,"doublet","two",2,"2","2","doublet","2","4","100"
"3358","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,267.5616349,267.5776327,"1",0.016,0.0646907,0.0806885,1,"doublet","solo",1,"1","1","doublet","1","1","0"
"3359","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,267.6423234,267.6838511,"2",0.0415,2.3689032,2.4104309,2,"doublet","solo",1,"2","2","doublet","1","2","0"
"3360","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,270.0527543,270.067114,"1",0.0144,0.0623005,0.0766602,1,"doublet","solo",2,"1","1","doublet","1","1","0"
"3361","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,270.1294145,270.1720432,"2",0.0426,1.9834943,2.026123,2,"doublet","solo",2,"2","2","doublet","1","2","0"
"3362","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,272.1555375,272.1697224,"1",0.0142,0.0645199,0.0787048,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3363","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,272.2342423,272.2783148,"2",0.0441,1.5813243,1.6253968,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3364","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,273.8596391,273.8741818,"1",0.0145,0.0646809,0.0792236,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3365","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,273.9388627,273.982597,"2",0.0437,1.6098912,1.6536255,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3366","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,275.5924882,275.6075325,"1",0.015,0.0634469,0.0784912,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3367","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,275.6709794,275.7166546,"2",0.0457,1.7767125,1.8223877,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3368","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,277.4933671,277.5077312,"1",0.0144,0.0639745,0.0783386,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3369","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,277.5717057,277.6136301,"2",0.0419,0.2594367,0.3013611,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3370","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,277.8730668,277.8875968,"1",0.0145,0.0595667,0.0740967,1,"doublet","solo",0,"1","1","doublet","1","1","0"
"3371","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,277.9471635,277.9825856,"2",0.0354,1.6451809,1.680603,2,"doublet","solo",0,"2","2","doublet","1","2","0"
"3372","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,279.6277665,279.6418934,"1",0.0141,0.0680264,0.0821533,1,"doublet","two",1,"1","1","doublet","2","1","1"
"3373","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,279.7099198,279.7549364,"2",0.045,0.1826446,0.2276612,2,"doublet","two",1,"2","2","doublet","2","2","1"
"3374","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,279.937581,279.9508942,"1",0.0133,0.0602646,0.0735778,3,"doublet","two",1,"1","1","doublet","2","3","100"
"3375","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,280.0111588,280.0488599,"2",0.0377,1.9274784,1.9651795,4,"doublet","two",1,"2","2","doublet","2","4","100"
"3376","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,281.9763383,281.9897125,"1",0.0134,0.0632859,0.0766601,1,"doublet","two",2,"1","1","doublet","2","1","1"
"3377","./amplitude_detector_tables/male_10_four_call_bouts.Amplitude.Detector.selections.txt",1626,282.0529984,282.0952763,"2",0.0423,0.256062,0.2983399,2,"doublet","two",2,"2","2","doublet","2","2","1"
