Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Max Freq (Hz)	Peak Amp (U)	Freq 5% (Hz)	Freq 25% (Hz)	Freq 75% (Hz)	Freq 95% (Hz)	Note_type	call_type	series_type	series_seq	Call_group_num	Call_num	Notes
403	Spectrogram 1	1	247.8893937	247.9238906	0	22050	0.0345	2670.117		2497.852	2583.984	2756.25	2842.383	2	doublet	two	2	1	202	
404	Spectrogram 1	1	250.6239671	250.6405737	0	22050	0.0166	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	203	
405	Spectrogram 1	1	250.7029008	250.743642	0	22050	0.0407	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	203	
406	Spectrogram 1	1	252.1046037	252.121134	0	22050	0.0165	2583.984		2411.719	2497.852	2670.117	2756.25	1	doublet	solo	0	1	204	
407	Spectrogram 1	1	252.1796769	252.2205735	0	22050	0.0409	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	204	
408	Spectrogram 1	1	253.9409226	253.959542	0	22050	0.0186	2583.984		2497.852	2583.984	2670.117	2670.117	1	doublet	solo	0	1	205	
409	Spectrogram 1	1	254.0260514	254.0670167	0	22050	0.041	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	205	
410	Spectrogram 1	1	255.8567399	255.8747766	0	22050	0.018	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	206	
411	Spectrogram 1	1	255.9442185	255.9845249	0	22050	0.0403	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	206	
412	Spectrogram 1	1	258.8479508	258.8640725	0	22050	0.0161	2583.984		2497.852	2497.852	2583.984	2670.117	1	doublet	solo	0	1	207	
413	Spectrogram 1	1	258.92632	258.9657774	0	22050	0.0395	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	207	
414	Spectrogram 1	1	261.1725663	261.1894885	0	22050	0.0169	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	208	
415	Spectrogram 1	1	261.2530107	261.2934987	0	22050	0.0405	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	208	
416	Spectrogram 1	1	262.9776505	262.9965473	0	22050	0.0189	2583.984		2497.852	2583.984	2583.984	2670.117	1	doublet	solo	0	1	209	
417	Spectrogram 1	1	263.0655107	263.106023	0	22050	0.0405	2670.117		2583.984	2670.117	2756.25	2756.25	2	doublet	solo	0	1	209	
418	Spectrogram 1	1	266.4305924	266.4477781	0	22050	0.0172	2583.984		2411.719	2497.852	2583.984	2756.25	1	doublet	solo	0	1	210	
419	Spectrogram 1	1	266.5139359	266.5533719	0	22050	0.0394	2670.117		2583.984	2583.984	2670.117	2756.25	2	doublet	solo	0	1	210	
420	Spectrogram 1	1	268.0493974	268.0663576	0	22050	0.017	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	211	
421	Spectrogram 1	1	268.1257829	268.1660421	0	22050	0.0403	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	211	
422	Spectrogram 1	1	271.963905	271.9858294	0	22050	0.0219	2497.852		2411.719	2497.852	2583.984	2583.984	1	doublet	solo	0	1	212	
423	Spectrogram 1	1	272.0620622	272.1028339	0	22050	0.0408	2583.984		2497.852	2583.984	2670.117	2756.25	2	doublet	solo	0	1	212	
424	Spectrogram 1	1	274.4071549	274.4245175	0	22050	0.0174	2583.984		2497.852	2583.984	2670.117	2756.25	1	doublet	solo	0	1	213	
425	Spectrogram 1	1	274.491536	274.5329847	0	22050	0.0414	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	213	
426	Spectrogram 1	1	277.152028	277.1666626	0	22050	0.0146	2583.984		2411.719	2497.852	2670.117	2756.25	1	doublet	solo	0	1	214	
427	Spectrogram 1	1	277.2312821	277.2724659	0	22050	0.0412	2670.117		2583.984	2670.117	2756.25	2842.383	2	doublet	solo	0	1	214	
1	Waveform 1	1	5.029494415	5.044542254	0	22050	0.015		9052					1	doublet	solo	0	1	1	
